Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
AVRO-2493,1.9.0,1.9.1,1.10.0,{1.9.0},1,2019-07-31,2020-05-26
AVRO-2499,1.9.0,1.9.1,1.10.0,{1.9.0},1,2019-08-05,2020-05-26
AVRO-2498,1.8.1,1.9.1,1.11.1,{1.8.1},1,2019-08-05,2021-11-16
AVRO-2500,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-08-06,2019-08-08
AVRO-2503,1.9.0,1.9.1,1.9.2,{1.9.0},1,2019-08-11,2019-10-23
AVRO-2517,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-08-21,2019-08-23
AVRO-2516,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-08-21,2019-08-23
AVRO-2522,1.9.0,1.9.1,1.9.2,{1.9.0},2,2019-08-24,2019-10-06
AVRO-2523,1.9.0,1.9.1,1.10.0,{1.9.0},1,2019-08-25,2020-05-21
AVRO-2548,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-05,2019-12-01
AVRO-2554,1.9.1,1.9.2,1.10.0,{1.9.1},1,2019-09-09,2020-05-21
AVRO-2557,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-12,2019-09-29
AVRO-2559,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-12,2019-09-30
AVRO-2558,1.9.1,1.9.2,1.10.0,{1.9.1},1,2019-09-12,2020-05-21
AVRO-2561,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-14,2019-12-03
AVRO-2564,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-17,2019-09-21
AVRO-2566,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-19,2019-09-22
AVRO-2571,1.9.0,1.9.2,1.10.1,{1.9.0},1,2019-09-25,2020-07-23
AVRO-2576,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-29,2019-10-09
AVRO-2577,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-29,2019-10-25
AVRO-2578,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-09-30,2019-10-27
AVRO-2580,1.9.1,1.9.2,1.9.2,{1.9.1},2,2019-10-06,2019-10-25
AVRO-2579,1.9.1,1.9.2,1.10.0,{1.9.1},1,2019-10-06,2020-05-26
AVRO-2590,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-10-10,2019-10-18
AVRO-2593,1.9.1,1.9.2,1.9.2,{1.9.1},1,2019-10-12,2019-10-22
AVRO-2592,1.9.1,1.9.2,1.9.2,{1.9.1},1,2019-10-12,2020-01-31
AVRO-2595,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-10-14,2019-12-01
AVRO-2600,1.9.0,1.9.2,1.9.2,{1.9.0 / 1.9.1},1,2019-10-18,2019-11-04
AVRO-2606,1.9.1,1.9.2,1.9.2,{1.9.1},1,2019-10-27,2019-11-05
AVRO-2608,1.9.1,1.9.2,1.10.0,{1.9.1},2,2019-10-28,2020-05-21
AVRO-2617,1.9.1,1.9.2,1.9.2,{1.9.1},1,2019-11-05,2019-11-17
AVRO-2618,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-11-05,2019-11-19
AVRO-2620,1.9.0,1.9.2,1.9.2,{1.9.0},3,2019-11-06,2019-11-09
AVRO-2624,1.9.1,1.9.2,1.10.0,{1.9.1},2,2019-11-13,2020-05-22
AVRO-2631,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-11-16,2019-11-16
AVRO-2633,1.9.1,1.9.2,1.11.0,{1.9.1},1,2019-11-18,2021-10-06
AVRO-2641,1.8.0,1.9.2,1.9.2,{1.8.0},1,2019-11-27,2020-02-04
AVRO-2644,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-11-30,2019-12-18
AVRO-2645,1.9.1,1.9.2,1.9.2,{1.9.1},1,2019-12-02,2020-01-02
AVRO-2648,1.9.1,1.9.2,1.10.0,{1.9.1},2,2019-12-06,2020-05-21
AVRO-2657,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-12-16,2019-12-19
AVRO-2663,1.9.1,1.9.2,1.9.2,{1.9.1},1,2019-12-23,2020-01-13
AVRO-2664,1.9.0,1.9.2,1.9.2,{1.9.0},1,2019-12-26,2019-12-27
AVRO-2666,1.9.1,1.9.2,1.11.0,{1.9.1},1,2019-12-27,2021-10-14
AVRO-2668,1.9.1,1.9.2,1.10.0,{1.9.1},1,2019-12-30,2020-05-29
AVRO-2675,1.9.0,1.9.2,1.9.2,{1.9.0},1,2020-01-07,2020-01-14
AVRO-2677,1.9.0,1.9.2,1.9.2,{1.9.0},1,2020-01-08,2020-01-11
AVRO-2702,1.9.1,1.9.2,1.10.1,{1.9.1},2,2020-01-19,2020-11-24
AVRO-2716,1.9.1,1.9.2,1.9.2,{1.9.1},1,2020-01-23,2020-02-11
AVRO-2714,1.9.1,1.9.2,1.10.0,{1.9.1},1,2020-01-23,2020-05-22
AVRO-2720,1.9.0,1.9.2,1.11.0,{1.9.0},1,2020-01-27,2021-07-15
AVRO-2722,1.9.1,1.9.2,1.11.1,{1.9.1},1,2020-01-29,2022-01-05
AVRO-2725,1.9.0,1.9.2,1.9.2,{1.9.0},1,2020-02-04,2020-02-04
AVRO-2726,1.9.0,1.9.2,1.9.2,{1.9.0},2,2020-02-06,2020-02-06
AVRO-2741,1.9.2,1.10.0,1.10.0,{1.9.2 / 1.10.0},1,2020-02-14,2020-02-22
AVRO-2747,1.9.2,1.10.0,1.10.0,{1.9.2},1,2020-02-17,2020-02-19
AVRO-2757,1.9.2,1.10.0,1.10.1,{1.9.2},1,2020-02-21,2020-07-02
AVRO-2761,1.9.2,1.10.0,1.10.0,{1.9.2},1,2020-02-24,2020-02-26
AVRO-2765,1.9.2,1.10.0,1.10.0,{1.9.2},1,2020-03-01,2020-04-22
AVRO-2766,1.9.2,1.10.0,1.10.0,{1.9.2},1,2020-03-02,2020-05-26
AVRO-2771,1.9.0,1.10.0,1.11.3,{1.9.0 / 1.9.1 / 1.9.2},1,2020-03-05,2023-08-16
AVRO-2780,1.9.2,1.10.0,1.10.0,{1.9.2},1,2020-03-24,2020-06-08
AVRO-2791,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-04-07,2020-04-11
AVRO-2792,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-04-08,2020-05-22
AVRO-2800,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-04-13,2020-05-09
AVRO-2807,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-04-17,2020-04-20
AVRO-2817,1.9.2,1.10.0,1.10.1,{1.9.2},1,2020-04-24,2020-10-14
AVRO-2827,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-05-09,2020-05-11
AVRO-2828,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-05-09,2020-05-13
AVRO-2833,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-05-13,2020-05-13
AVRO-2836,1.9.2,1.10.0,1.10.0,{1.9.2},1,2020-05-15,2020-05-26
AVRO-2837,1.8.2,1.10.0,1.10.0,{1.8.2 / 1.9.2},1,2020-05-15,2020-06-01
AVRO-2844,1.8.2,1.10.0,1.10.0,{1.8.2 / 1.9.2},1,2020-05-23,2020-05-27
AVRO-2845,1.9.1,1.10.0,1.10.0,{1.9.1},1,2020-05-24,2020-05-24
AVRO-2867,1.9.1,1.10.0,1.11.1,{1.9.1},1,2020-06-19,2021-12-22
AVRO-2870,1.9.1,1.10.0,1.11.1,{1.9.1},2,2020-06-24,2022-04-30
AVRO-2875,1.10.0,1.10.1,1.10.1,{1.10.0},1,2020-06-30,2020-11-12
AVRO-2881,1.9.2,1.10.1,1.10.1,{1.9.2},1,2020-07-04,2020-08-19
AVRO-2883,1.9.2,1.10.1,1.11.1,{1.9.2},2,2020-07-07,2022-04-19
AVRO-2885,1.8.2,1.10.1,1.11.3,{1.8.2 / 1.9.2 / 1.10.0},1,2020-07-09,2023-08-17
AVRO-2898,1.10.0,1.10.1,1.10.2,{1.10.0},1,2020-07-19,2021-01-20
AVRO-2903,1.9.2,1.10.1,1.11.0,{1.9.2},1,2020-07-22,2021-10-12
AVRO-2905,1.10.0,1.10.1,1.10.1,{1.10.0},1,2020-07-29,2020-09-30
AVRO-2907,1.10.0,1.10.1,1.10.1,{1.10.0},1,2020-07-30,2020-09-14
AVRO-2908,1.9.2,1.10.1,1.10.1,{1.9.2},1,2020-08-06,2020-08-13
AVRO-2924,1.10.0,1.10.1,1.10.1,{1.10.0},1,2020-08-20,2020-11-12
AVRO-2923,1.10.0,1.10.1,1.11.0,{1.10.0},1,2020-08-20,2021-08-26
