@relation BOOKKEEPER_Generico

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
6367,2,0,141,17,376,0,0,0,2,6367,6095,3183.5,18077,6127,6111,5855,6111,NO
153,2,0,4,2,0,3,8,0,2,153,153,76.5,157,153,77.5,2,77.5,NO
43,1,0,1,0,0,0,4,0,1,43,43,43,43,43,43,0,43,NO
41,2,0,5,1,0,0,2,0,2,41,41,20.5,43,41,21,1,21,NO
105,3,0,2,3,3,4,7,0,2,105,104,35,205,104,51.666667,48,51.666667,NO
105,5,0,1,9,2,4,10,5,3,105,103,21,191,103,29.6,39,29.6,NO
92,4,0,1,6,2,2,4,5,3,92,91,23,160,91,31.5,31,31.5,NO
101,3,0,3,7,2,2,19,0,2,101,100,33.666667,201,100,50.333333,48,50.333333,NO
45,1,0,3,0,0,2,3,0,1,45,45,45,45,45,45,0,45,NO
289,2,0,31,4,36,9,13,0,2,289,289,144.5,291,289,145,1,145,NO
32,2,0,1,0,1,0,2,0,2,32,31,16,38,31,17.5,3,17.5,NO
111,1,0,1,0,4,4,7,0,1,111,111,111,111,111,111,0,111,NO
35,2,0,1,0,0,0,0,0,2,35,35,17.5,37,35,18,1,18,NO
81,1,0,2,1,5,2,7,0,1,81,81,81,81,81,81,0,81,NO
27,1,0,1,0,3,0,0,0,1,27,27,27,27,27,27,0,27,NO
28,1,0,1,0,2,0,1,0,1,28,28,28,28,28,28,0,28,NO
29,2,0,1,0,2,0,3,0,2,29,29,14.5,31,29,15,1,15,NO
