Classifier,FeatureSelection,Balancing,CostSensitive,Index,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,5,1,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.3776598037232319,0.9768911355840403,0.610783055198973,0.40639104531503883,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4827586206896552,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,0.7604355716878404,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4827586206896552,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,0.7586206896551724,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.48275862068965525,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,1.0,1,0.7586206896551724,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,6,0,0.2894736842105263,0.3548387096774194,0.3188405797101449,0.2525977739337696,0.9493670886075948,0.5139338538691043,0.26107935365528634,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.7419354838709677,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7521222410865874,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.7419354838709677,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7945670628183362,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.7419354838709677,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1,0.7945670628183362,
IBk,BestFirst(Bi-directional),None,None,1,0,0.5423728813559322,0.42105263157894735,0.4740740740740741,0.47419615402890253,0.8964796096200767,0.5566778900112234,0.2606566920785405,0.35526315789473684,0.39473684210526316,0.5,0.618421052631579,0.6710526315789473,0.7894736842105263,0.8421052631578947,0.8552631578947368,0.9078947368421053,0.9473684210526315,0.9605263157894737,0.9736842105263158,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.5169892526715172,0.35526315789473684,0.39473684210526316,0.5,0.618421052631579,0.6710526315789473,0.7894736842105263,0.8421052631578947,0.8552631578947368,0.9078947368421053,0.9473684210526315,0.9605263157894737,0.9736842105263158,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.8432653024446065,0.4736842105263158,0.4545454545454546,0.5277777777777778,0.6266666666666667,0.6799999999999999,0.7894736842105263,0.8421052631578947,0.8552631578947368,0.9078947368421053,0.9473684210526315,0.9605263157894737,0.9736842105263158,0.983050847457627,1.0,1.0,1.0,1.0,1.0,1,0.8317174515235457,
IBk,BestFirst(Bi-directional),None,None,2,8,0.35051546391752575,0.5862068965517241,0.43870967741935485,0.30506719664574267,0.8969606106037891,0.6584446029966364,0.2835062775893409,0.27586206896551724,0.41379310344827586,0.5,0.5344827586206896,0.5689655172413793,0.5862068965517241,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.8793103448275862,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.7138440603786629,0.27586206896551724,0.41379310344827586,0.5,0.5344827586206896,0.5689655172413793,0.5862068965517241,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.8793103448275862,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.7997492890417554,0.3555555555555555,0.4528301886792453,0.5087719298245614,0.5344827586206896,0.5689655172413793,0.5862068965517241,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.8793103448275862,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.9827586206896551,0.9642857142857142,1.0,1.0,1.0,1,0.794010889292196,
IBk,BestFirst(Bi-directional),None,None,3,7,0.14814814814814814,0.7407407407407407,0.24691358024691357,0.1284896289286105,0.909652076318743,0.6932688432083837,0.21387742985835195,0.4074074074074074,0.5925925925925926,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.8518518518518519,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8635477582846004,0.4074074074074074,0.5925925925925926,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.8518518518518519,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8830409356725146,0.40740740740740744,0.5925925925925926,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.8518518518518519,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8830409356725146,
IBk,BestFirst(Bi-directional),None,None,4,6,0.12,0.6428571428571429,0.20224719101123595,0.10277431486513566,0.9350649350649352,0.72,0.2183840194319071,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8421052631578947,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.4285714285714286,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8571428571428571,
IBk,BestFirst(Bi-directional),SMOTE,None,1,0,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.49335518411567575,0.9051063088184036,0.6563611668068042,0.3472464273265946,0.42105263157894735,0.4868421052631579,0.5131578947368421,0.5394736842105263,0.5526315789473685,0.7105263157894737,0.8026315789473685,0.8421052631578947,0.868421052631579,0.9210526315789473,0.9605263157894737,0.9868421052631579,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.6572227923420184,0.42105263157894735,0.4868421052631579,0.5131578947368421,0.5394736842105263,0.5526315789473685,0.7105263157894737,0.8026315789473685,0.8421052631578947,0.868421052631579,0.9210526315789473,0.9605263157894737,0.9868421052631579,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.8339736322803603,0.5614035087719298,0.5606060606060606,0.5416666666666667,0.5466666666666666,0.56,0.7105263157894737,0.8026315789473685,0.8421052631578947,0.868421052631579,0.9210526315789473,0.9605263157894737,0.9868421052631579,0.983050847457627,1.0,1.0,1.0,1.0,1.0,1,0.8206371191135734,
IBk,BestFirst(Bi-directional),SMOTE,None,2,10,0.3523809523809524,0.6379310344827587,0.4539877300613497,0.30649789653005094,0.9026850211258007,0.6813996316758748,0.3040579187701879,0.25862068965517243,0.41379310344827586,0.5,0.5344827586206896,0.603448275862069,0.6379310344827587,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9482758620689655,0.9655172413793104,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.8141725405524907,0.25862068965517243,0.41379310344827586,0.5,0.5344827586206896,0.603448275862069,0.6379310344827587,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9482758620689655,0.9655172413793104,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.8103764316108217,0.3333333333333335,0.4528301886792453,0.5087719298245614,0.5344827586206896,0.603448275862069,0.6379310344827587,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9482758620689655,0.9655172413793104,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9642857142857142,1.0,1.0,1.0,1,0.8049001814882032,
IBk,BestFirst(Bi-directional),SMOTE,None,3,3,0.14960629921259844,0.7037037037037037,0.24675324675324675,0.13050363326460476,0.8910213243546576,0.687866927592955,0.20790188536591564,0.48148148148148145,0.5555555555555556,0.6296296296296297,0.6296296296296297,0.7037037037037037,0.7407407407407407,0.8148148148148148,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8576998050682262,0.48148148148148145,0.5555555555555556,0.6296296296296297,0.6296296296296297,0.7037037037037037,0.7407407407407407,0.8148148148148148,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8576998050682262,0.4814814814814814,0.5555555555555556,0.6296296296296297,0.6296296296296297,0.7037037037037037,0.7407407407407407,0.8148148148148148,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8576998050682262,
IBk,BestFirst(Bi-directional),SMOTE,None,4,10,0.1323529411764706,0.6428571428571429,0.21951219512195122,0.11432396975103563,0.9409681227863046,0.7273694005051178,0.23622004776709396,0.5,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9022556390977443,0.5,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8909774436090224,0.5,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8909774436090224,
