Class Name,Release ID, Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,1,137,4,0,3,5,5,3,12,0,2,137,136,34.25,163,136,37.5,10,37.5,YES
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,1,177,3,0,4,1,10,4,4,0,2,177,176,59.0,185,176,60.333333333333336,2,60.333333333333336,YES
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,1,46,2,0,1,0,0,0,0,0,2,46,46,23.0,48,46,23.5,1,23.5,NO
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,1,128,5,0,8,8,3,2,10,0,3,128,127,25.6,146,127,27.4,5,27.4,NO
hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,1,149,3,0,45,2,13,1,5,0,2,149,148,49.666666666666664,155,148,50.666666666666664,2,50.666666666666664,NO
hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,1,58,2,0,5,1,1,0,2,0,2,58,58,29.0,60,58,29.5,1,29.5,NO
hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,1,149,2,0,33,1,2,1,5,0,2,149,149,74.5,155,149,76.0,3,76.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,1,74,2,0,1,1,5,0,2,0,2,74,74,37.0,82,74,39.0,4,39.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,1,37,1,0,1,0,0,0,0,0,1,37,37,37.0,37,37,37.0,0,37.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,1,38,2,0,1,0,0,0,0,0,2,38,38,19.0,42,38,20.0,2,20.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,1,39,2,0,1,0,0,0,0,0,2,39,39,19.5,41,39,20.0,1,20.0,NO
