@relation AVRO_Training_Set_17

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
229,2,0,1,2,24,3,3,6,1,130,129,65,280,75,38,204,38,NO
202,2,0,2,4,21,4,4,6,1,24,23,12,186,81,41,104,41,NO
102,2,0,1,2,2,2,2,2,1,103,102,51.5,103,102,51.5,0,51.5,YES
144,2,0,3,1,6,2,2,1,1,145,144,72.5,149,144,73.5,2,73.5,YES
337,3,0,7,5,5,4,4,3,1,338,337,112.666667,340,337,113,1,113,NO
94,2,0,1,0,0,1,1,0,1,95,94,47.5,99,94,48.5,2,48.5,NO
382,2,0,11,12,12,5,10,0,1,383,382,191.5,383,382,191.5,0,191.5,YES
138,3,0,2,2,4,3,3,2,1,139,138,46.333333,141,138,46.666667,1,46.666667,NO
40,1,0,2,0,1,1,1,0,1,1,1,1,1,1,1,0,1,NO
86,1,0,5,1,4,5,5,0,1,1,1,1,3,2,2,1,2,NO
90,1,0,4,0,5,5,5,0,1,4,4,4,10,7,7,3,7,NO
149,1,0,1,0,3,3,3,1,1,149,149,149,149,149,149,0,149,NO
74,1,0,1,0,7,0,0,0,1,74,74,74,74,74,74,0,74,NO
231,2,0,17,11,8,7,9,13,1,49,48,24.5,59,53,27,5,27,NO
221,2,0,11,12,3,8,10,13,1,48,36,24,68,40,29,6,29,NO
110,1,0,2,6,4,6,8,0,1,1,1,1,3,2,2,1,2,NO
94,1,0,5,0,3,6,8,0,1,2,2,2,6,4,4,2,4,NO
42,1,0,2,0,1,3,3,0,1,1,1,1,5,3,3,2,3,NO
36,2,1,2,0,0,5,5,0,1,7,4,3.5,13,6,5,2,5,NO
304,4,2,14,6,10,12,14,11,1,61,27,15.25,125,40,23.25,14,23.25,YES
117,3,2,2,2,7,3,3,3,1,6,3,2,22,6,3.666667,8,3.666667,YES
65,7,4,1,1,3,1,1,4,1,34,14,4.857143,62,16,4.285714,18,4.285714,YES
113,4,1,5,3,4,5,5,9,1,29,16,7.25,39,18,8.5,3,8.5,NO
128,3,1,5,3,5,5,5,11,1,5,4,1.666667,9,5,2.333333,1,2.333333,YES
105,1,0,6,3,6,5,10,1,1,1,1,1,5,3,3,2,3,NO
28,1,0,2,0,1,2,2,0,1,1,1,1,1,1,1,0,1,NO
287,4,0,17,7,13,6,8,3,1,19,11,4.75,27,12,5.75,1,5.75,YES
70,2,0,5,1,3,1,1,3,1,71,67,35.5,83,67,38.5,6,38.5,YES
47,2,1,2,0,3,0,0,2,1,0,0,0,4,1,1,1,1,YES
35,2,1,2,0,1,0,0,2,1,0,0,0,4,1,1,1,1,NO
40,2,0,2,0,2,0,0,2,1,1,1,0.5,3,1,1,1,1,YES
28,1,0,2,0,0,0,0,2,1,1,1,1,1,1,1,0,1,NO
27,2,0,1,0,0,0,0,1,1,2,1,1,6,2,1.5,3,1.5,NO
71,2,0,2,0,3,0,0,1,1,8,7,4,18,12,6.5,5,6.5,YES
80,5,2,5,3,0,2,2,6,1,25,13,5,47,13,7.2,7,7.2,NO
40,2,1,2,2,0,0,0,4,1,0,0,0,4,1,1,1,1,YES
87,2,0,2,2,6,1,1,1,1,7,5,3.5,17,8,6,3,6,NO
25,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0,1,NO
25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
354,1,0,24,8,21,11,14,1,1,13,13,13,17,15,15,2,15,YES
774,2,0,47,27,57,12,18,0,1,47,46,23.5,145,95,47.5,49,47.5,YES
25,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0,1,NO
38,1,1,1,0,0,0,0,0,1,38,38,38,38,38,38,0,38,NO
235,2,1,24,7,9,8,8,4,1,17,9,8.5,39,19,14,11,14,NO
199,1,1,19,7,4,11,11,5,1,7,7,7,25,9,9,16,9,NO
34,0,0,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,NO
36,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NO
36,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
