DATASET,INDEX TRAINING_RELEASES,TRAINING_INSTANCES(%),CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,F1,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.8333333333333334,0.4069767441860465,0.546875,0.8278080158337456,0.3969402711615977,35.0,7.0,134.0,51.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.8809523809523809,0.43023255813953487,0.578125,0.7961405244928254,0.4385305972883841,37.0,5.0,136.0,49.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),UnderSampling,None,0.6172839506172839,0.5813953488372093,0.5988023952095808,0.698499092858321,0.3656837802894441,50.0,31.0,110.0,36.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.8367346938775511,0.47674418604651164,0.6074074074074074,0.8295398317664523,0.4584777422694332,41.0,8.0,133.0,45.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.36936936936936937,0.9534883720930233,0.5324675324675324,0.695983836384628,-0.03012731627379296,82.0,140.0,1.0,4.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),SMOTE,None,0.6666666666666666,0.5813953488372093,0.6211180124223603,0.7111166089394689,0.41442889161415836,50.0,25.0,116.0,36.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.7741935483870968,0.5581395348837209,0.6486486486486487,0.8126340095662213,0.4852607709750567,48.0,14.0,127.0,38.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.3705357142857143,0.9651162790697675,0.535483870967742,0.6638627742041894,-0.026568682871678934,83.0,141.0,0.0,3.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.65625,0.4883720930232558,0.5599999999999999,0.6810159986805212,0.3497960246506379,42.0,22.0,119.0,44.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,None,0.38461538461538464,0.6896551724137931,0.4938271604938272,0.8318113670437508,0.334464220470797,40.0,64.0,189.0,18.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,None,0.4430379746835443,0.603448275862069,0.510948905109489,0.8173640452501022,0.37693986783482347,35.0,44.0,209.0,23.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,None,0.3300970873786408,0.5862068965517241,0.422360248447205,0.658716096497206,0.24132413503659197,34.0,69.0,184.0,24.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),None,None,0.3939393939393939,0.6724137931034483,0.4968152866242038,0.8268365817091454,0.34207214203465175,39.0,60.0,193.0,19.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),None,None,0.48,0.6206896551724138,0.5413533834586466,0.8145018399890963,0.4191899090714263,36.0,39.0,214.0,22.0
