DATASET,INDEX TRAINING_RELEASES,TRAINING_INSTANCES(%),CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,F1,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES,TOTAL_COST
AVRO,2,62.121212121212125,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.3333333333333333,0.6,0.42857142857142855,0.7894444444444444,0.23076923076923095,9.0,18.0,42.0,6.0,78.0
AVRO,2,62.121212121212125,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.4444444444444444,0.5333333333333333,0.4848484848484848,0.6911111111111111,0.34108527131782934,8.0,10.0,50.0,7.0,80.0
AVRO,3,65.56291390728477,RandomForest,None,None,None,0.10526315789473684,1.0,0.1904761904761905,0.946078431372549,0.1612903225806452,2.0,17.0,85.0,0.0,17.0
AVRO,3,65.56291390728477,NaiveBayes,None,None,None,0.07692307692307693,1.0,0.14285714285714288,0.9509803921568627,0.11111111111111116,2.0,24.0,78.0,0.0,24.0
AVRO,3,65.56291390728477,IBk,None,None,None,0.09090909090909091,1.0,0.16666666666666669,0.9019607843137255,0.1362126245847179,2.0,20.0,82.0,0.0,20.0
AVRO,3,65.56291390728477,RandomForest,BestFirst(Bi-directional),None,None,0.09090909090909091,1.0,0.16666666666666669,0.9656862745098039,0.1362126245847179,2.0,20.0,82.0,0.0,20.0
AVRO,3,65.56291390728477,NaiveBayes,BestFirst(Bi-directional),None,None,0.11764705882352941,1.0,0.21052631578947367,0.946078431372549,0.18238993710691787,2.0,15.0,87.0,0.0,15.0
AVRO,3,65.56291390728477,IBk,BestFirst(Bi-directional),None,None,0.030303030303030304,0.5,0.05714285714285715,0.5955882352941176,0.021664766248574586,1.0,32.0,70.0,1.0,42.0
AVRO,3,65.56291390728477,RandomForest,None,SMOTE,None,0.06451612903225806,1.0,0.12121212121212122,0.928921568627451,0.08827085852478851,2.0,29.0,73.0,0.0,29.0
AVRO,3,65.56291390728477,NaiveBayes,None,SMOTE,None,0.08,1.0,0.14814814814814814,0.9362745098039216,0.11669128508124085,2.0,23.0,79.0,0.0,23.0
AVRO,3,65.56291390728477,IBk,None,SMOTE,None,0.05714285714285714,1.0,0.1081081081081081,0.8382352941176471,0.07443365695792875,2.0,33.0,69.0,0.0,33.0
AVRO,3,65.56291390728477,RandomForest,None,None,SensitiveLearning,0.03636363636363636,1.0,0.07017543859649122,0.8897058823529411,0.03433777154870356,2.0,53.0,49.0,0.0,53.0
