Release ID, Release Name,Size, numberOfRevisions(numNR),numberOfDefectFixes(NumFix),numberOfAuthors(numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
12,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/TwitterAbstractHandler.java,89,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/TwitterAbstractHandler.java,90,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/TwitterHandlerFactory.java,60,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/TwitterHttpHandlerFactory.java,52,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/TwitterHttpServer.java,102,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/TwitterHttpServer.java,108,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/package-info.java,20,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/twitter-http-server/src/main/java/org/apache/bookkeeper/http/twitter/package-info.java,20,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/VertxAbstractHandler.java,93,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/VertxAbstractHandler.java,93,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/VertxHandlerFactory.java,59,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/VertxHttpHandlerFactory.java,52,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/VertxHttpServer.java,111,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/VertxHttpServer.java,117,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/package-info.java,20,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-http/vertx-http-server/src/main/java/org/apache/bookkeeper/http/vertx/package-info.java,20,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthCallbacks.java,31,2,0,2,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthCallbacks.java,31,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthCallbacks.java,31,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthProviderFactoryFactory.java,109,6,1,5,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthProviderFactoryFactory.java,109,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthProviderFactoryFactory.java,109,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthToken.java,44,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthToken.java,44,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthToken.java,44,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookKeeperPrincipal.java,72,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookKeeperPrincipal.java,72,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookKeeperPrincipal.java,72,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookieAuthProvider.java,99,6,1,5,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookieAuthProvider.java,99,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookieAuthProvider.java,99,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/ClientAuthProvider.java,103,6,1,5,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/ClientAuthProvider.java,103,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/ClientAuthProvider.java,103,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/package-info.java,20,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
