 Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
187,0,0,5,2,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
30,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
37,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
37,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
47,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
77,0,0,1,6,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
26,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
45,1,0,2,0,2,0,0,0,1,6,6,6.0,6,6,6.0,0,6.0,NO
49,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
41,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
41,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
53,0,0,1,0,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
69,0,0,1,2,1,1,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
47,0,0,10,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
235,0,0,7,7,4,3,11,9,0,0,0,0.0,0,0,0.0,0,0.0,NO
30,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
168,1,0,5,1,4,2,0,6,1,1,1,1.0,5,2,2.0,3,2.0,NO
268,1,1,1,2,32,6,0,4,1,0,0,0.0,10,5,5.0,5,5.0,NO
95,0,0,3,5,7,4,2,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
64,0,0,7,0,1,2,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
166,0,0,5,1,1,3,2,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
43,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
322,3,0,17,5,15,4,1,5,2,52,28,17.333333333333332,114,52,27.666666666666668,24,27.666666666666668,NO
237,0,0,21,6,7,8,0,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
401,0,0,27,9,13,14,0,7,0,0,0,0.0,0,0,0.0,0,0.0,NO
513,0,0,29,13,18,16,1,7,0,0,0,0.0,0,0,0.0,0,0.0,NO
132,0,0,5,6,10,8,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
54,0,0,5,0,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
64,0,0,3,2,6,2,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
45,0,0,2,0,3,2,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
50,0,0,2,0,3,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
43,0,0,4,0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
92,1,1,4,3,6,4,1,0,1,1,1,1.0,7,4,4.0,3,4.0,NO
35,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
103,0,0,1,0,1,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
108,0,0,3,5,8,6,3,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
107,0,0,2,3,8,6,1,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
44,0,0,1,2,0,3,3,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
43,0,0,5,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
26,0,0,3,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
1404,4,3,64,14,87,16,1,21,4,12,9,3.0,56,25,8.5,16,8.5,NO
625,1,0,10,3,37,8,0,12,1,1,1,1.0,1,1,1.0,0,1.0,NO
369,3,0,16,5,21,7,0,10,3,23,18,7.666666666666667,33,19,9.333333333333334,4,9.333333333333334,NO
25,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
24,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
35,1,1,4,0,0,0,0,0,1,5,5,5.0,5,5,5.0,0,5.0,NO
275,0,0,6,1,17,1,0,5,0,0,0,0.0,0,0,0.0,0,0.0,NO
37,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
430,2,0,15,2,3,1,0,4,1,3,2,1.5,37,14,8.5,16,8.5,NO
1014,1,1,48,8,52,6,0,3,1,1,1,1.0,5,3,3.0,2,3.0,NO
131,0,0,2,0,13,3,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
568,0,0,32,3,26,4,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
240,0,0,6,2,16,6,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
41,0,0,2,0,0,1,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
39,0,0,2,0,0,1,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
302,0,0,4,1,1,2,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
306,0,0,3,8,14,2,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
197,1,1,3,5,12,5,0,2,1,1,1,1.0,5,3,3.0,2,3.0,NO
137,0,0,3,0,9,3,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
318,0,0,2,1,5,3,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
351,0,0,2,8,12,2,1,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
614,0,0,14,9,40,11,0,29,0,0,0,0.0,0,0,0.0,0,0.0,NO
514,0,0,4,7,31,9,4,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
319,0,0,3,8,26,6,5,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
77,0,0,1,1,2,1,0,4,0,0,0,0.0,0,0,0.0,0,0.0,NO
69,0,0,2,1,2,2,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
341,0,0,2,4,12,4,0,5,0,0,0,0.0,0,0,0.0,0,0.0,NO
249,0,0,2,2,25,3,0,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
213,0,0,1,3,23,2,0,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
98,0,0,1,2,2,2,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
187,0,0,3,1,6,2,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
349,0,0,4,6,3,8,1,8,0,0,0,0.0,0,0,0.0,0,0.0,NO
90,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
714,0,0,13,20,20,8,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
138,0,0,2,2,4,3,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
34,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
180,0,0,1,3,3,6,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
124,1,0,1,1,3,4,0,4,1,1,1,1.0,9,5,5.0,4,5.0,NO
150,0,0,1,0,5,3,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
51,0,0,1,0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
35,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
96,0,0,1,1,1,2,0,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
121,1,0,1,0,2,4,0,5,1,1,1,1.0,9,5,5.0,4,5.0,NO
64,0,0,1,0,2,2,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
220,0,0,2,0,0,2,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
39,0,0,1,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
28,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
32,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
33,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
36,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
32,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
43,0,0,1,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
33,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
47,0,0,2,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
51,0,0,1,0,1,1,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
52,0,0,1,1,0,2,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
26,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
121,0,0,1,3,11,2,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
366,0,0,2,12,44,2,1,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
54,0,0,1,0,5,2,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
60,1,0,1,0,3,1,0,0,1,0,0,0.0,8,4,4.0,4,4.0,NO
35,0,0,1,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
1040,4,1,80,8,44,26,0,19,3,125,111,31.25,203,146,39.75,35,39.75,NO
300,0,0,11,2,13,6,0,10,0,0,0,0.0,0,0,0.0,0,0.0,NO
186,1,0,6,2,6,6,0,5,1,2,2,2.0,4,1,1.0,3,1.0,NO
205,0,0,5,3,3,12,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
35,0,0,1,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
40,0,0,2,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
32,0,0,1,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
69,0,0,1,0,7,3,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
60,0,0,1,0,5,3,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
36,0,0,2,0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
543,3,2,35,9,24,16,0,13,3,18,11,6.0,44,12,8.0,19,8.0,NO
145,0,0,8,1,6,1,0,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
104,0,0,4,0,5,1,0,5,0,0,0,0.0,0,0,0.0,0,0.0,NO
127,0,0,1,0,4,1,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
79,0,0,5,0,2,4,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
82,0,0,2,0,5,5,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
26,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
134,1,1,8,4,12,4,0,8,1,9,9,9.0,13,11,11.0,2,11.0,NO
55,0,0,1,0,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
102,0,0,5,0,4,4,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
